prov_name,yr,age,pop_prop
Shanxi,2014,50_,0.277102842
Neimenggu,1990,0,0.015043611
Neimenggu,1990,1_14,0.269425565
Neimenggu,1990,15_49,0.576195075
Neimenggu,1990,50_,0.139335749
Neimenggu,1991,0,0.015043611
Neimenggu,1991,1_14,0.265251627
Neimenggu,1991,15_49,0.577585338
Neimenggu,1991,50_,0.142119425
Neimenggu,1992,0,0.015043611
Neimenggu,1992,1_14,0.261077688
Neimenggu,1992,15_49,0.5789756
Neimenggu,1992,50_,0.1449031
Neimenggu,1993,0,0.015043611
Neimenggu,1993,1_14,0.25690375
Neimenggu,1993,15_49,0.580365863
Neimenggu,1993,50_,0.147686776
Neimenggu,1994,0,0.015043611
Neimenggu,1994,1_14,0.252729811
Neimenggu,1994,15_49,0.581756125
Neimenggu,1994,50_,0.150470452
Neimenggu,1995,0,0.015043611
Neimenggu,1995,1_14,0.248555873
Neimenggu,1995,15_49,0.583146388
Neimenggu,1995,50_,0.153254128
Neimenggu,1996,0,0.013988759
Neimenggu,1996,1_14,0.239357932
Neimenggu,1996,15_49,0.590511338
Neimenggu,1996,50_,0.156141971
Neimenggu,1997,0,0.012933908
Neimenggu,1997,1_14,0.23015999
Neimenggu,1997,15_49,0.597876288
Neimenggu,1997,50_,0.159029814
Neimenggu,1998,0,0.011879056
Neimenggu,1998,1_14,0.220962049
Neimenggu,1998,15_49,0.605241238
Neimenggu,1998,50_,0.161917656
Neimenggu,1999,0,0.010824204
Neimenggu,1999,1_14,0.211764108
Neimenggu,1999,15_49,0.612606189
Neimenggu,1999,50_,0.164805499
Neimenggu,2000,0,0.009769353
Neimenggu,2000,1_14,0.202566167
Neimenggu,2000,15_49,0.619971139
Neimenggu,2000,50_,0.167693342
Neimenggu,2001,0,0.009664889
Neimenggu,2001,1_14,0.194319739
Neimenggu,2001,15_49,0.615443172
Neimenggu,2001,50_,0.180572199
Neimenggu,2002,0,0.009560426
Neimenggu,2002,1_14,0.186073312
Neimenggu,2002,15_49,0.610915206
